state,statenum,year,malesuic,malepop,malesuicrate,femalesuic,femalepop,femalesuicrate,adultsuic,adultpop,adultsuicrate,lfp,unemp,rinc,pctrural,college,mormon,sobapt,catholic,protestant,blackper,unins,beercons,pctfemale
AL,2,1990,221,976888,22.62286,64,1052921,6.0783286,285,2029809,14.04073,51.299999,6.8000002,121.08646,39.599998,15.6,.426,32.439999,3.4000001,34.299999,25.27949,17.4,19.4,53.728271
AL,2,1991,266,991006,26.841412,63,1067333,5.9025626,329,2058339,15.983762,52,7.1999998,121.1674,40.099998,15.4,.42899999,32.290001,3.4000001,32.41,25.291431,17.9,19.4,53.705425
AL,2,1992,247,1006877,24.531298,64,1082467,5.9124203,311,2089344,14.885055,53.599998,7.3000002,124.01996,40.5,15,.43200001,32.150002,3.4000001,30.620001,25.368631,16.599998,19.4,53.663761
AL,2,1993,269,1024194,26.264555,73,1100028,6.6361947,342,2124222,16.100012,53.799999,7.5,123.88235,41,14.6,.435,32,3.4000001,28.93,25.437531,17.200001,20.1,53.624611
AL,2,1994,252,1039067,24.252527,80,1116253,7.1668339,332,2155320,15.403745,54.799999,6,126.44399,41.5,15.2,.43900001,31.860001,3.4000001,27.33,25.56007,19.200001,20.1,53.6008
AL,2,1995,281,1049886,26.764811,63,1128208,5.5840769,344,2178094,15.793625,55.299999,6.3000002,128.12993,42,17.299999,.442,31.709999,3.3900001,25.82,25.62108,13.500001,20.4,53.579926
AL,2,1996,265,1066164,24.855463,76,1146033,6.6315718,341,2212197,15.41454,56.299999,5.0999999,128.34927,42.5,18,.44499999,31.57,3.3900001,24.389999,25.571711,12.9,20.299999,53.552773
AL,2,1997,263,1077926,24.398706,77,1159059,6.6433201,340,2236985,15.199029,58.099998,5.0999999,130.21184,43,19.299999,.44800001,31.43,3.3900001,23.049999,25.65797,15.5,21,53.530537
AL,2,1998,306,1094056,27.969318,84,1176916,7.1372976,390,2270972,17.173264,56.900002,4.1999998,134.38037,43.5,20.6,.45199999,31.290001,3.3900001,21.77,25.686689,17,20.6,53.479439
AL,2,1999,294,1105683,26.589899,66,1190516,5.5438147,360,2296199,15.678083,56.700001,4.8000002,136.21849,44,21.799999,.45500001,31.139999,3.3900001,20.57,26.064074,13.2,21,53.442924
AL,2,2000,316,1111716,28.424526,81,1196210,6.7713861,397,2307926,17.201591,56.900002,4.5999999,136.59117,44.5,20.4,.458,31,3.3800001,19.43,26,13.500001,20.700001,53.419556
AK,1,1990,38,158321,24.001869,2,138844,1.4404656,40,297165,13.460535,65.400002,6.9000001,173.772,32.5,23,2.8469999,5.1900001,8.1700001,15.8,4.1571403,15.4,26.700001,47.154964
AK,1,1991,40,163547,24.457802,7,143159,4.889668,47,306706,15.324121,64.699997,8.5,170.52864,32.700001,24.5,2.865,5.0100002,8.2200003,16.01,4.0713201,13.2,26.200001,47.135319
