id,year,rvote,age,female,black,white,otherrace,educ,family_income,south,college
1,2000,0,63,0,0,1,0,3,3,0,0
2,2000,1,40,1,0,1,0,3,3,0,0
3,2000,0,43,0,0,1,0,3,4,0,0
4,2000,0,47,1,0,1,0,4,3,0,1
5,2000,0,26,1,1,0,0,4,4,0,1
6,2000,0,48,1,0,1,0,2,3,0,0
7,2000,0,37,0,0,1,0,2,2,0,0
8,2000,1,18,1,0,1,0,2,3,0,0
9,2000,1,31,0,0,0,1,3,4,0,0
10,2000,0,18,1,0,0,1,2,2,0,0
11,2000,0,22,1,0,1,0,3,3,1,0
12,2000,0,44,1,0,1,0,4,4,1,1
13,2000,1,43,1,0,1,0,2,4,0,0
14,2000,0,57,1,0,1,0,2,1,0,0
15,2000,0,43,0,0,1,0,4,4,0,1
16,2000,1,63,1,0,1,0,3,1,0,0
17,2000,0,40,1,0,0,1,2,2,0,0
18,2000,0,44,1,0,1,0,4,4,0,1
19,2000,1,29,0,0,1,0,3,3,1,0
20,2000,0,63,0,0,1,0,2,3,1,0
21,2000,1,57,1,0,1,0,2,2,1,0
22,2000,0,39,1,0,0,1,3,4,1,0
23,2000,0,22,1,0,1,0,2,3,0,0
24,2000,0,53,0,0,1,0,2,1,1,0
25,2000,0,59,1,1,0,0,2,1,1,0
26,2000,0,30,1,0,1,0,4,3,0,1
27,2000,0,43,1,0,1,0,2,3,0,0
28,2000,1,34,1,0,1,0,2,1,0,0
29,2000,0,23,1,0,0,1,3,4,0,0
30,2000,1,30,1,0,1,0,4,4,0,1
31,2000,0,37,0,0,1,0,2,3,1,0
32,2000,1,47,0,0,1,0,4,5,0,1
33,2000,1,50,0,0,1,0,3,2,1,0
34,2000,1,37,0,0,1,0,2,2,0,0
35,2000,0,45,1,0,1,0,2,2,1,0
36,2000,0,51,1,0,1,0,2,1,0,0
37,2000,0,34,0,0,1,0,1,2,1,0
38,2000,1,56,1,0,1,0,2,2,1,0
39,2000,0,60,1,0,1,0,3,3,0,0
40,2000,0,52,1,,0,0,3,3,0,0
41,2000,1,58,1,0,1,0,2,3,0,0
42,2000,1,38,1,0,1,0,4,4,0,1
43,2000,0,58,1,0,1,0,3,3,0,0
44,2000,0,30,0,1,0,0,2,1,0,0
45,2000,0,37,1,0,1,0,2,4,0,0
46,2000,0,46,0,0,1,0,4,3,0,1
47,2000,1,54,0,0,1,0,3,3,0,0
48,2000,0,47,0,0,1,0,3,2,0,0
49,2000,1,40,1,0,1,0,3,3,0,0
50,2000,1,24,1,0,1,0,3,2,1,0
51,2000,1,37,1,0,1,0,3,4,1,0
52,2000,0,34,1,0,1,0,3,3,1,0
53,2000,0,64,1,0,1,0,4,2,0,1
54,2000,0,34,1,0,0,1,2,1,1,0
55,2000,1,45,0,,0,0,2,3,0,0
56,2000,1,56,0,0,1,0,3,4,1,0
57,2000,0,25,0,0,0,1,4,4,1,1
58,2000,1,47,1,0,1,0,3,3,0,0
59,2000,0,57,0,0,1,0,2,2,0,0
60,2000,1,49,0,0,1,0,4,4,1,1
